Município,Data,Casos Acumulados,Casos Novos,Óbitos Acumulados,Óbitos novos
Agudos,01/01/2021,1021,1,18,0
Agudos,01/02/2021,1252,0,20,0
Agudos,01/03/2021,1540,0,25,0
Agudos,01/04/2020,0,0,0,0
Agudos,01/04/2021,2106,6,47,0
Agudos,01/05/2020,15,0,1,0
Agudos,01/05/2021,2761,10,58,0
Agudos,01/06/2020,23,0,1,0
Agudos,01/06/2021,3161,46,73,0
Agudos,01/07/2020,120,14,3,0
Agudos,01/07/2021,3822,2,86,0
Agudos,01/08/2020,302,5,5,0
Agudos,01/08/2021,4417,2,104,0
Agudos,01/09/2020,484,16,9,0
Agudos,01/09/2021,4659,8,109,0
Agudos,01/10/2020,642,10,13,0
Agudos,01/11/2020,747,0,15,0
Agudos,01/12/2020,854,1,17,0
Agudos,02/01/2021,1021,0,18,0
Agudos,02/02/2021,1254,2,20,0
Agudos,02/03/2021,1549,9,25,0
Agudos,02/04/2020,1,1,0,0
Agudos,02/04/2021,2127,21,47,0
Agudos,02/05/2020,15,0,1,0
Agudos,02/05/2021,2763,2,58,0
Agudos,02/06/2020,26,3,1,0
Agudos,02/06/2021,3187,26,73,0
Agudos,02/07/2020,123,3,3,0
Agudos,02/07/2021,3840,18,92,6
Agudos,02/08/2020,304,2,5,0
Agudos,02/08/2021,4419,2,104,0
Agudos,02/09/2020,495,11,9,0
Agudos,02/09/2021,4661,2,109,0
Agudos,02/10/2020,650,8,13,0
Agudos,02/11/2020,747,0,15,0
Agudos,02/12/2020,861,7,17,0
Agudos,03/01/2021,1021,0,18,0
Agudos,03/02/2021,1260,6,20,0
Agudos,03/03/2021,1561,12,25,0
Agudos,03/04/2020,1,0,0,0
Agudos,03/04/2021,2128,1,47,0
Agudos,03/05/2020,15,0,1,0
Agudos,03/05/2021,2763,0,58,0
Agudos,03/06/2020,27,1,1,0
Agudos,03/06/2021,3210,23,74,1
Agudos,03/07/2020,128,5,3,0
Agudos,03/07/2021,3863,23,95,3
Agudos,03/08/2020,304,0,5,0
Agudos,03/08/2021,4433,14,104,0
Agudos,03/09/2020,500,5,10,1
Agudos,03/09/2021,4668,7,109,0
Agudos,03/10/2020,655,5,13,0
Agudos,03/11/2020,747,0,15,0
Agudos,03/12/2020,877,16,17,0
Agudos,04/01/2021,1021,0,18,0
Agudos,04/02/2021,1265,5,20,0
Agudos,04/03/2021,1579,18,26,1
Agudos,04/04/2020,1,0,0,0
Agudos,04/04/2021,2130,2,47,0
Agudos,04/05/2020,15,0,1,0
Agudos,04/05/2021,2779,16,60,2
Agudos,04/06/2020,32,5,1,0
Agudos,04/06/2021,3210,0,74,0
Agudos,04/07/2020,129,1,3,0
Agudos,04/07/2021,3865,2,95,0
Agudos,04/08/2020,310,6,5,0
Agudos,04/08/2021,4433,0,105,1
Agudos,04/09/2020,510,10,11,1
Agudos,04/09/2021,4669,1,109,0
Agudos,04/10/2020,655,0,13,0
Agudos,04/11/2020,753,6,16,1
Agudos,04/12/2020,883,6,17,0
Agudos,05/01/2021,1024,3,18,0
Agudos,05/02/2021,1273,8,20,0
Agudos,05/03/2021,1599,20,27,1
Agudos,05/04/2020,1,0,0,0
Agudos,05/04/2021,2131,1,47,0
Agudos,05/05/2020,15,0,1,0
Agudos,05/05/2021,2802,23,60,0
Agudos,05/06/2020,32,0,1,0
Agudos,05/06/2021,3225,15,74,0
Agudos,05/07/2020,137,8,3,0
Agudos,05/07/2021,3868,3,95,0
Agudos,05/08/2020,315,5,6,1
Agudos,05/08/2021,4484,51,105,0
Agudos,05/09/2020,515,5,11,0
Agudos,05/09/2021,4669,0,109,0
Agudos,05/10/2020,655,0,13,0
Agudos,05/11/2020,753,0,16,0
Agudos,05/12/2020,896,13,17,0
Agudos,06/01/2021,1029,5,18,0
Agudos,06/02/2021,1279,6,20,0
Agudos,06/03/2021,1610,11,31,4
Agudos,06/04/2020,1,0,0,0
Agudos,06/04/2021,2141,10,47,0
Agudos,06/05/2020,18,3,1,0
Agudos,06/05/2021,2805,3,61,1
Agudos,06/06/2020,33,1,1,0
Agudos,06/06/2021,3227,2,74,0
Agudos,06/07/2020,137,0,3,0
Agudos,06/07/2021,3907,39,97,2
Agudos,06/08/2020,319,4,6,0
Agudos,06/08/2021,4520,36,105,0
Agudos,06/09/2020,522,7,11,0
Agudos,06/09/2021,4669,0,109,0
Agudos,06/10/2020,658,3,13,0
Agudos,06/11/2020,753,0,16,0
Agudos,06/12/2020,896,0,17,0
Agudos,07/01/2021,1032,3,18,0
Agudos,07/02/2021,1329,50,20,0
Agudos,07/03/2021,1610,0,31,0
Agudos,07/04/2020,1,0,0,0
Agudos,07/04/2021,2162,21,49,2
Agudos,07/05/2020,18,0,1,0
Agudos,07/05/2021,2825,20,61,0
Agudos,07/06/2020,34,1,1,0
Agudos,07/06/2021,3231,4,74,0
Agudos,07/07/2020,141,4,3,0
